,Unnamed: 0,text,identity_attack_x,bias,target,category,rationale,race,religion,gender,lgbtq,political
1227,1227,I was in a bar In Germany... an African was selling flowers ... an African Amaican oxymoron was all hey ... brother... trying his fist pumping crap. The African man said You are not African... your an American... . funny as crap,0.578947368,1,african american,race,prejudice against african american,1,0,0,0,0
2797,2797,For eons the cultural myth floated around that ancient Rome was brought down due to its indulgence in sodomy that lurid term so beloved among todays altright. Of course that conveniently overlooks the fact that the Roman Empire collapsed under the weight of its own overextension. Far easier to blame it all on the queers. Isnt that what people have always done  that is until relatively recently?,0.5,1,queers,lgbtq,prejudice against queers,0,0,0,1,0
2457,2457,I would be carrying more than a large knife if people were shooting at my home and animals calling me a white nigger threatening to shoot me and showing up with a virtual lynch mob of ignorant people who are shouting and threatening to tape me up and send me out of town. The leaders of Akiak have led their people to commit illegal actions before and what would stop them if they told these people to harm this man? I understand that kind of harassment is legal and accepted in Alaskan native villages apparently but its not right on a human or a Christian level  which is apparently not their religion. Sooo he is  wearing a knife on his belt on a small farm in Alaska and that makes him a bad person? Hahaha. Thats beautiful.,0.7,0,,none,,0,0,0,0,0
5386,5386,Not all women are childlike. You have no right to make such a sweeping statement about them.,0.25,0,women,none,,0,0,0,0,0
5398,5398,"The Qur'an is not a cancer on the European culture, it is a very useful book and an inspiration to many.",0.25,0,muslims,none,,0,0,0,0,0
3032,3032,Who cares if women march to protest Trump becoming 45th US President??  Brainless act  by silly women with nothing important to do with their time ,0.525,1,women,gender,prejudice against women,0,0,1,0,0
6984,6984,There is no proof that the Quran promoted violence against women.,0.25,0,muslims,none,,0,0,0,0,0
7706,7706,"There are a variety of intellectual and creative disabilities, and they are not crimes. How can you say otherwise?",0.25,0,disabled,none,,0,0,0,0,0
168,168,all the nonwhite populace.,0.5,0,,none,,0,0,0,0,0
692,692,Racists and bigots like Trump need to be confronted and challenged. Mostly it is based on ignorance and typically a learned behavior that will be passed on if not confronted. Probably 99 plus of Muslims are just as lawful and patriotic as the rest of us and those that think otherwise probably do not know any Muslims.,0.283783784,0,,none,,0,0,0,0,0
1194,1194,As does Islam genius. Oh and subjugation of women and the KILLING of nonMuslims. So your point is slag. Could me and my transgender bf get married in a mosque? Get a grip.,0.6375,1,muslims,religion,prejudice against muslims and transgender,0,1,0,0,0
1748,1748,Shes here to entertain white trash whose numbers are in rapid decline.  The issue is self eliminating.,0.808823529,1,whites,race,prejudice against whites,1,0,0,0,0
3859,3859,You sure TONTO dont mean GAY?,0.6,1,lgbtq,lgbtq,prejudice against gays,0,0,0,1,0
1844,1844,Too bad white men seem to be above the law.,0.614285714,1,whites,race,prejudice against whites,1,0,0,0,0
7859,7859,Why do you think this way about a certain group? There are so many ways to live life.,0.25,0,lgbtq,none,,0,0,0,0,0
7824,7824,"The Koran does not tolerate violence, peace is a part of the faith and for this it should be tolerated.",0.25,0,muslims,none,,0,0,0,0,0
8262,8262,"Black people in news media are actually misrepresented with a disproportionate number of criminals, sexual offenders, and in some cases, murderers. A large part of this problem is a result of racism. We need to end this toxic way of thinking and talking, and start working towards building a more just and peaceful society.",0.25,0,poc,none,,0,0,0,0,0
4797,4797,Societal disapproval of obesity calls for a focus on weight and does not fit within efforts to focus on health as a way of encouraging healthy habits and lifestyle choices.,0.25,0,other,none,,0,0,0,0,0
5640,5640,I believe that there are certain similarities between Islam and some other religions. The one that matters is that they should all be respected.,0.25,0,muslims,none,,0,0,0,0,0
4343,4343,"The world has changed a lot in the last hundred years, and with it the people and religions. No one is talking about conquering anymore. Islam is no exception in this.",0.25,0,muslims,none,,0,0,0,0,0
5954,5954,"Coeducation with regularly-developed kids is a much better investment and reduces cost, time and effort into the bargain.",0.25,0,disabled,none,,0,0,0,0,0
3259,3259,Its just the manhating manbashing feminists waging their Gender War tactics to overthrow western men and western civilization.... and replacing it with macho eastern men and liberal eastern civilization ..... and contradicting themselves to satisfy their orgasmic feeelings .... soooo obvious...,0.6,1,feminists,political,prejudice against feminists,0,0,0,0,1
1991,1991,Do the newspapers report the race of a cop who shoots a deadly gangster black guy?  YES THEY ALWAYS DO.  The only reason not to show a picture and report the race is RACISM to hide the TRUE FACTS.,0.5,1,blacks,race,prejudice against blacks,1,0,0,0,0
4234,4234,Christianity is the Religion of Love except for the part where Catholic and Protestant want to kill each other riight.,0.5125,1,christians,religion,prejudice towards christians,0,1,0,0,0
5902,5902,"You can have parents from all over the world, and still be a patriot for our country.",0.25,0,jews,none,,0,0,0,0,0
1483,1483,Especially considering the prolife movement is mostly women  Sadly some of the worst misogynists are women.,0.5,1,women,gender,prejudice against women,0,0,1,0,0
3127,3127,Isnt it you Lefties who are always complaining about the Right and white people as the source of your problems?  Youre racist and you try to legitimize your antiwhite hatred by creating false excuses.  You cant succeed so you resort to creating evidencelacking concepts like whiteprivilege and white supremacism instead.  Stop trying to create an excuse for your present situation.  Blame yourselves.,0.5,1,liberals,political,prejudice against liberals,0,0,0,0,1
31,31,Not possible with all the bloodthirsty leftists and Islamists out there.,0.8,1,"left wing,muslims","political,religion",prejudice against left wing and muslims,0,1,0,0,1
6869,6869,"Jews do not have an inherent evil: Anti-Semites in White Supremacist communities are the real new evil, they are those who really want to subvert Western society.",0.25,0,jews,none,,0,0,0,0,0
914,914,Very good article but youll still have to register as a Muslim and we might decide to have you move to a special camp strictly for your own safety while we make America great again.,0.6,1,muslims,religion,prejudice against muslims,0,1,0,0,0
5559,5559,"With an estimated 6 million Jews killed during the Nazi occupation the fact of the Holocause is undeniable. Jewish communities have been par tof Europe for centuries, we just need to end the centures of predjudice and discrimination.",0.25,0,jews,none,,0,0,0,0,0
6294,6294,"The holocaust was a relatively recent event, but the hate which caused it and to which you subscribe, is centuries old.",0.25,0,jews,none,,0,0,0,0,0
7047,7047,To work with people from different backgrounds and different opinions is promoting free speech. If there wasn't free speech for everyone you couldn't express how you feel.,0.25,0,other,none,,0,0,0,0,0
1629,1629,Another one who claims that his fear and loathing of homosexuals is based on Church teaching. As Christ taught us You shall love your neighbor as yourself unless the neighbor is gay. That neighbor shall not be loved.,0.5,1,"christians,gays","religion,lgbtq",prejudice against christians and towards gays,0,1,0,1,0
405,405,This tragedy was brought to you by an Islamic nutcase who hated gays.,0.8,1,muslims,religion,prejudice against muslims,0,1,0,0,0
5522,5522,In Western society men and women are supposed to be equal. Feminism is just an attempt to improve the issues of women and to end the gender equality gap.,0.25,0,women,none,,0,0,0,0,0
6941,6941,"Slavery was banned in the UK in 1833, when slaves were legally owned by white owners. It is based on racism and I can't see how it could survive today.",0.25,0,poc,none,,0,0,0,0,0
5268,5268,Some of them are very talented actually.,0.25,0,poc,none,,0,0,0,0,0
436,436,So converting to Islam is a mental heath issue?  Interesting thought.,0.53030303,0,,none,,0,0,0,0,0
5174,5174,Is it really the case that you think that the Koran is incompatible with our country? Have you t ever read it?,0.25,0,muslims,none,,0,0,0,0,0
560,560,When arrests and beatings take place just because you are gay or transgender their lives are in danger,0.5,1,"gays,transgenders",lgbtq,prejudice towards gays and transgenders,0,0,0,1,0
1846,1846,Hatred of those white supremacist nazis was present?  Oh no.  For shame.    Well thats a relief: now we know that the white supremacist nazis  those who hate them were equivalent.,0.696969697,1,whites,race,prejudice against whites,1,0,0,0,0
7314,7314,You mean to imply that all Muslims are inherently terrorists? How can you say that about an entire religious community?,0.25,0,muslims,none,,0,0,0,0,0
4013,4013,They only became so wealthy because white privilege. Or something.,0.6,1,whites,race,prejudice against whites,1,0,0,0,0
6269,6269,"The aim of any society is to maximize human potential. In order to achieve this aim, then we have to treat people of different religions with respect.",0.25,0,jews,none,,0,0,0,0,0
1307,1307,Almost as mendacious as literature from abortionists: an editorial talking about the irrelevance of procreation to sexuality that is captioned by a picture of a mother with a baby not two homosexuals engaged in sodomy.,0.9,1,homosexuals,lgbtq,prejudice against homosexuals,0,0,0,1,0
240,240,You have to remember their preferred male target is a white male. Preferably an old white male. The only group you can attack with impunity.,0.5,1,whites,race,prejudice against whites,1,0,0,0,0
2362,2362,Nerds have been cool longer than homosexuals have been gay.,0.575,1,homosexuals,lgbtq,prejudice against lgbtq,0,0,0,1,0
2870,2870,Let us save some public money: blame the white males for everything.,0.9,1,whites,race,prejudice against whites,1,0,0,0,0
5958,5958,The Constitution actually declares the right to adequate housing.,0.25,0,other,none,,0,0,0,0,0
3085,3085,utilitas wishes to know why white people are privileged.  Boggle.,0.5,1,whites,race,prejudice against whites,1,0,0,0,0
